ACARA School ID,School Name,Suburb,PostCode
44495,Lakes Entrance Primary School,LAKES ENTRANCE,3909
44498,Longwood Primary School,LONGWOOD,3665
44515,Yarraville West Primary School,YARRAVILLE,3013
44518,Pomonal Primary School,POMONAL,3381
44537,Pearcedale Primary School,PEARCEDALE,3912
44540,St Albans Primary School,ST ALBANS,3021
44557,Flowerdale Primary School,FLOWERDALE,3717
44560,Merri Creek Primary School,FITZROY NORTH,3068
44564,Wales Street Primary School,THORNBURY,3071
44578,Kinglake West Primary School,KINGLAKE WEST,3757
44581,Chum Creek Primary School,CHUM CREEK,3777
44584,Badger Creek Primary School,HEALESVILLE,3777
44601,Mount Waverley Primary School,MOUNT WAVERLEY,3149
44604,Murrumbeena Primary School,MURRUMBEENA,3163
44622,Grey Street Primary School (Traralgon),TRARALGON,3844
44625,Alphington Primary School,ALPHINGTON,3078
44628,Norris Bank Primary School,BUNDOORA,3083
44642,Irymple South Primary School,IRYMPLE,3498
44645,Wantirna Primary School,WANTIRNA,3152
44648,Chelsea Primary School,CHELSEA,3196
44662,Preston West Primary School,PRESTON,3072
44665,Wandin North Primary School,WANDIN NORTH,3139
44668,Currawa Primary School,DOOKIE CAMPUS,3647
44685,Reservoir Primary School,RESERVOIR,3073
44688,Girgarre Primary School,GIRGARRE,3624
44705,Noojee Primary School,NOOJEE,3833
44708,Ringwood North Primary School,RINGWOOD NORTH,3134
44711,Bayswater North Primary School,BAYSWATER NORTH,3153
44725,Dandenong West Primary School,DANDENONG,3175
44728,Manifold Heights Primary School,MANIFOLD HEIGHTS,3218
44731,Cardross Primary School,CARDROSS,3496
44749,Ivanhoe East Primary School,IVANHOE EAST,3079
44752,Tate Street Primary School Geelong,EAST GEELONG,3219
44769,Mount Beauty Primary School,MOUNT BEAUTY,3699
44772,Traralgon (Stockdale Road) Primary School,TRARALGON,3844
44790,Ballarat North Primary School,BALLARAT,3350
44793,Greythorn Primary School,BALWYN NORTH,3104
44796,Horsham West and Haven Primary School – Haven Campus,HAVEN,3401
44810,Oak Park Primary School,OAK PARK,3046
44813,Kalianna Special School,BENDIGO,3550
44816,Belle Vue Primary School,BALWYN NORTH,3104
44834,Orbost North Primary School,ORBOST,3888
44837,Warrnambool East Primary School,WARRNAMBOOL,3280
44855,Beverley Hills Primary School,DONCASTER EAST,3109
44858,Kerrimuir Primary School,BOX HILL NORTH,3129
44875,Albion North Primary School,SUNSHINE NORTH,3020
44878,Rollins Primary School,BELL POST HILL,3215
44881,Bellaire Primary School,HIGHTON,3216
44896,Invergordon Primary School,INVERGORDON,3636
44900,Essex Heights Primary School,MOUNT WAVERLEY,3149
44903,Boronia West Primary School,BORONIA,3155
44924,Forest Street Primary School,WENDOUREE,3355
44927,Wilmot Road Primary School Shepparton,SHEPPARTON,3630
44946,Lalor East Primary School,THOMASTOWN,3074
44949,Oberon South Primary School,BELMONT,3216
44952,Watsonia North Primary School,WATSONIA NORTH,3087
44968,Glendal Primary School,GLEN WAVERLEY,3150
44971,Sherbourne Primary School,BRIAR HILL,3088
44974,Araluen Primary School,SALE,3850
44992,Woodville Primary School,HOPPERS CROSSING,3029
44995,Wallarano Primary School,NOBLE PARK,3174
45012,Manorvale Primary School,WERRIBEE,3030
45015,Ashwood School,ASHWOOD,3147
45033,Templestowe Park Primary School,TEMPLESTOWE,3106
45036,Dorset Primary School,CROYDON,3136
45039,Kingsley Park Primary School,FRANKSTON,3199
45055,Diamond Valley Special Developmental School,GREENSBOROUGH,3088
45058,Warringa Park School,HOPPERS CROSSING,3029
45061,Altona Meadows Primary School,ALTONA MEADOWS,3028
45079,Sunbury Heights Primary School,SUNBURY,3429
45082,Wallaroo Primary School,HASTINGS,3915
45099,Chalcot Lodge Primary School,ENDEAVOUR HILLS,3802
45102,Southern Cross Primary School,ENDEAVOUR HILLS,3802
45119,Langwarrin Park Primary School,LANGWARRIN,3910
45122,Coburg Special Developmental School,COBURG,3058
45125,Swan Hill Specialist School,SWAN HILL,3585
45139,Orchard Grove Primary School,BLACKBURN SOUTH,3130
45142,Boroondara Park Primary School,BALWYN NORTH,3104
45145,Warracknabeal Special Developmental School,WARRACKNABEAL,3393
45162,Mill Park Heights Primary School,MILL PARK,3082
45165,Willmott Park Primary School,CRAIGIEBURN,3064
45182,Somerville Rise Primary School,SOMERVILLE,3912
45185,Branxholme-Wallacedale Community School,BRANXHOLME,3302
45188,Narrawong District Primary School,NARRAWONG,3285
45202,Nangiloc Colignan and District Primary School,NANGILOC,3494
45205,Beverford District Primary School,BEVERFORD,3590
45208,Parkhill Primary School,ASHWOOD,3147
45222,Edenhope College,EDENHOPE,3318
45225,Carwatha College P-12,NOBLE PARK,3174
45228,Woorinen District Primary School,WOORINEN SOUTH,3588
45245,Timbarra P-9 College,BERWICK,3806
45248,Brookside P-9 College,CAROLINE SPRINGS,3023
45265,Cranbourne Carlisle Primary School,CRANBOURNE,3977
45268,Yuille Park P-8 Community College,WENDOUREE,3355
45273,Golden Square Primary School Maple Street Campus,GOLDEN SQUARE,3555
45289,William Ruthven Primary School,RESERVOIR,3073
45293,Boisdale Consolidated School,BOISDALE,3860
45296,Collingwood College,COLLINGWOOD,3066
45313,Poowong Consolidated School,POOWONG,3988
45316,Sherbrooke Community School,SASSAFRAS,3787
45333,Crusoe 7-10 Secondary College,KANGAROO FLAT,3555
45336,Staughton College,MELTON SOUTH,3338
45354,Beechworth Secondary College,BEECHWORTH,3747
45357,Blackburn High School,BLACKBURN,3130
45361,Brentwood Secondary College,GLEN WAVERLEY,3150
45376,Dimboola Memorial Secondary College,DIMBOOLA,3414
45379,Doncaster Secondary College,DONCASTER,3108
45382,Eltham High School,ELTHAM,3095
45399,Highvale Secondary College,GLEN WAVERLEY,3150
45403,Kerang Technical High School,KERANG,3579
45422,Matthew Flinders Girls Secondary College,GEELONG,3220
45425,Mentone Girls Secondary College,MENTONE,3194
45428,Montmorency Secondary College,MONTMORENCY,3094
45443,Norwood Secondary College,RINGWOOD,3134
45446,Orbost Secondary College,ORBOST,3888
45449,Pakenham Secondary College,PAKENHAM,3810
45463,Scoresby Secondary College,SCORESBY,3179
45467,St Arnaud Secondary College,ST ARNAUD,3478
45470,Sunbury College,SUNBURY,3429
45487,Wellington Secondary College,MULGRAVE,3170
45490,Westall Secondary College,CLAYTON SOUTH,3169
45507,Sunbury Downs Secondary College,SUNBURY,3429
45510,St Helena Secondary College,ELTHAM NORTH,3095
45513,Rowville Secondary College-Eastern Campus,ROWVILLE,3178
45527,Taylors Lakes Secondary College,TAYLORS LAKES,3038
45530,Sunshine College Ardeer Campus,ARDEER,3022
45533,Thornbury High School,THORNBURY,3071
45551,Noble Park Secondary College,NOBLE PARK,3174
45554,Yarra Hills Secondary College Mount Evelyn Campus,MOUNT EVELYN,3796
45571,McClelland College,FRANKSTON,3199
45574,Lara Secondary College,LARA,3212
45591,Hume Central Secondary College Blair Street Campus,BROADMEADOWS,3047
45594,Nossal High School,BERWICK,3806
